"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Authorization","1","0","","0"
"0","","0","User operation functionality","1","0","","0"
"0","","0","Admin features functionality","1","0","","0"
"0","","0","User features functionality","1","0","","0"
